"","X","is.HVG"
"ZBTB8B","ZBTB8B",FALSE
"ZBTB8A","ZBTB8A",FALSE
"ZBTB8OS","ZBTB8OS",FALSE
"RBBP4","RBBP4",FALSE
"SYNC","SYNC",TRUE
"AC114489.1","AC114489.1",FALSE
"KIAA1522","KIAA1522",FALSE
"YARS","YARS",FALSE
"S100PBP","S100PBP",TRUE
"FNDC5","FNDC5",FALSE
"HPCA","HPCA",FALSE
"TMEM54","TMEM54",FALSE
"AL031602.2","AL031602.2",FALSE
"RNF19B","RNF19B",FALSE
"AL020995.1","AL020995.1",FALSE
"AK2","AK2",FALSE
"AZIN2","AZIN2",FALSE
"TRIM62","TRIM62",FALSE
"AL662907.3","AL662907.3",FALSE
"ZNF362","ZNF362",FALSE
"AL513327.3","AL513327.3",FALSE
"A3GALT2","A3GALT2",FALSE
"AL513327.1","AL513327.1",FALSE
"PHC2","PHC2",FALSE
"AL513327.2","AL513327.2",FALSE
"ZSCAN20","ZSCAN20",FALSE
"CSMD2","CSMD2",FALSE
"HMGB4","HMGB4",FALSE
"CSMD2-AS1","CSMD2-AS1",FALSE
"C1orf94","C1orf94",FALSE
"AC099565.1","AC099565.1",FALSE
"SMIM12","SMIM12",FALSE
"GJB5","GJB5",FALSE
"GJB4","GJB4",FALSE
"AL121988.1","AL121988.1",FALSE
"GJB3","GJB3",FALSE
"GJA4","GJA4",FALSE
"AL122010.1","AL122010.1",FALSE
"DLGAP3","DLGAP3",FALSE
"TMEM35B","TMEM35B",TRUE
"ZMYM6","ZMYM6",FALSE
"ZMYM1","ZMYM1",FALSE
"AL590434.1","AL590434.1",FALSE
"SFPQ","SFPQ",FALSE
"ZMYM4","ZMYM4",FALSE
"ZMYM4-AS1","ZMYM4-AS1",FALSE
"KIAA0319L","KIAA0319L",FALSE
"NCDN","NCDN",FALSE
"AC004865.2","AC004865.2",FALSE
"TFAP2E","TFAP2E",FALSE
"PSMB2","PSMB2",FALSE
"C1orf216","C1orf216",FALSE
"CLSPN","CLSPN",FALSE
"AL354864.1","AL354864.1",FALSE
"AGO4","AGO4",FALSE
"AGO1","AGO1",FALSE
"AL139286.3","AL139286.3",FALSE
"AL139286.2","AL139286.2",FALSE
"AGO3","AGO3",TRUE
"AL138787.2","AL138787.2",FALSE
"TEKT2","TEKT2",FALSE
"ADPRHL2","ADPRHL2",FALSE
"COL8A2","COL8A2",TRUE
"TRAPPC3","TRAPPC3",FALSE
"MAP7D1","MAP7D1",FALSE
"THRAP3","THRAP3",FALSE
"SH3D21","SH3D21",FALSE
"EVA1B","EVA1B",TRUE
"AL591845.1","AL591845.1",FALSE
"STK40","STK40",FALSE
"LSM10","LSM10",FALSE
"OSCP1","OSCP1",FALSE
"MRPS15","MRPS15",FALSE
"CSF3R","CSF3R",FALSE
"AL596257.1","AL596257.1",FALSE
"AC117945.2","AC117945.2",FALSE
"AC117945.1","AC117945.1",FALSE
"GRIK3","GRIK3",FALSE
"AL031430.1","AL031430.1",FALSE
"AL353604.1","AL353604.1",FALSE
"LINC01137","LINC01137",FALSE
"ZC3H12A","ZC3H12A",FALSE
"MEAF6","MEAF6",FALSE
"SNIP1","SNIP1",FALSE
"DNALI1","DNALI1",TRUE
"GNL2","GNL2",FALSE
"AL513220.1","AL513220.1",FALSE
"RSPO1","RSPO1",FALSE
"C1orf109","C1orf109",FALSE
"CDCA8","CDCA8",FALSE
"EPHA10","EPHA10",FALSE
"MANEAL","MANEAL",FALSE
"AL929472.3","AL929472.3",FALSE
"YRDC","YRDC",FALSE
"C1orf122","C1orf122",FALSE
"MTF1","MTF1",FALSE
"AL929472.2","AL929472.2",FALSE
"INPP5B","INPP5B",FALSE
"SF3A3","SF3A3",FALSE
"FHL3","FHL3",FALSE
"UTP11","UTP11",FALSE
"POU3F1","POU3F1",FALSE
"MIR3659HG","MIR3659HG",FALSE
"LINC02786","LINC02786",FALSE
"AL390839.1","AL390839.1",FALSE
"AL390839.2","AL390839.2",FALSE
"LINC01343","LINC01343",FALSE
"LINC01685","LINC01685",FALSE
"AL354702.2","AL354702.2",FALSE
"RRAGC","RRAGC",FALSE
"AL139260.1","AL139260.1",FALSE
"MYCBP","MYCBP",FALSE
"GJA9","GJA9",FALSE
"RHBDL2","RHBDL2",FALSE
"AKIRIN1","AKIRIN1",FALSE
"NDUFS5","NDUFS5",FALSE
"MACF1","MACF1",FALSE
"AL356055.1","AL356055.1",FALSE
"AL442071.2","AL442071.2",FALSE
"AL442071.1","AL442071.1",FALSE
"BMP8A","BMP8A",FALSE
"PABPC4","PABPC4",FALSE
"PABPC4-AS1","PABPC4-AS1",FALSE
"HEYL","HEYL",FALSE
"AL035404.2","AL035404.2",FALSE
"NT5C1A","NT5C1A",FALSE
"HPCAL4","HPCAL4",FALSE
"PPIE","PPIE",FALSE
"BMP8B","BMP8B",FALSE
"OXCT2","OXCT2",FALSE
"BMP8B-AS1","BMP8B-AS1",FALSE
"AL033527.3","AL033527.3",FALSE
"AL033527.4","AL033527.4",FALSE
"LINC02811","LINC02811",FALSE
"TRIT1","TRIT1",FALSE
"MYCL","MYCL",FALSE
"AL033527.2","AL033527.2",FALSE
"MFSD2A","MFSD2A",FALSE
"CAP1","CAP1",FALSE
"PPT1","PPT1",FALSE
"RLF","RLF",FALSE
"TMCO2","TMCO2",FALSE
"AL050341.2","AL050341.2",FALSE
"ZMPSTE24","ZMPSTE24",FALSE
"COL9A2","COL9A2",TRUE
"SMAP2","SMAP2",FALSE
"AL031985.4","AL031985.4",FALSE
"ZFP69B","ZFP69B",FALSE
"AL031985.3","AL031985.3",FALSE
"ZFP69","ZFP69",FALSE
"AL603839.3","AL603839.3",FALSE
"EXO5","EXO5",FALSE
"AL603839.1","AL603839.1",FALSE
"AL603839.2","AL603839.2",FALSE
"ZNF684","ZNF684",FALSE
"AL356379.2","AL356379.2",FALSE
"RIMS3","RIMS3",FALSE
"AL031289.2","AL031289.2",FALSE
"AL031289.1","AL031289.1",FALSE
"NFYC-AS1","NFYC-AS1",FALSE
"NFYC","NFYC",FALSE
"KCNQ4","KCNQ4",FALSE
"CITED4","CITED4",FALSE
"AC119677.1","AC119677.1",FALSE
"AL391730.2","AL391730.2",FALSE
"CTPS1","CTPS1",FALSE
"SLFNL1-AS1","SLFNL1-AS1",FALSE
"SLFNL1","SLFNL1",FALSE
"SCMH1","SCMH1",FALSE
"AC093151.8","AC093151.8",FALSE
"AC093151.3","AC093151.3",FALSE
"FOXO6","FOXO6",FALSE
"AC093151.2","AC093151.2",FALSE
"EDN2","EDN2",FALSE
"HIVEP3","HIVEP3",FALSE
"AL445933.2","AL445933.2",FALSE
"AC119676.1","AC119676.1",FALSE
"AL158216.1","AL158216.1",FALSE
"GUCA2B","GUCA2B",FALSE
"GUCA2A","GUCA2A",FALSE
"FOXJ3","FOXJ3",FALSE
"AC096540.1","AC096540.1",FALSE
"RIMKLA","RIMKLA",FALSE
"ZMYND12","ZMYND12",FALSE
"PPCS","PPCS",FALSE
"CCDC30","CCDC30",FALSE
"PPIH","PPIH",FALSE
"AC098484.4","AC098484.4",FALSE
"AC098484.2","AC098484.2",FALSE
"YBX1","YBX1",FALSE
"CLDN19","CLDN19",FALSE
"P3H1","P3H1",TRUE
"C1orf50","C1orf50",FALSE
"AC098484.1","AC098484.1",FALSE
"TMEM269","TMEM269",FALSE
"SVBP","SVBP",FALSE
"ERMAP","ERMAP",FALSE
"AL512353.1","AL512353.1",FALSE
"ZNF691","ZNF691",FALSE
"SLC2A1","SLC2A1",FALSE
"SLC2A1-AS1","SLC2A1-AS1",FALSE
"AC099795.1","AC099795.1",FALSE
"FAM183A","FAM183A",FALSE
"EBNA1BP2","EBNA1BP2",FALSE
"CFAP57","CFAP57",FALSE
"TMEM125","TMEM125",FALSE
"C1orf210","C1orf210",FALSE
"TIE1","TIE1",TRUE
"MPL","MPL",FALSE
"AL139289.3","AL139289.3",FALSE
"AL139289.2","AL139289.2",FALSE
"CDC20","CDC20",FALSE
"ELOVL1","ELOVL1",FALSE
"MED8","MED8",FALSE
"AL139289.1","AL139289.1",FALSE
"SZT2","SZT2",FALSE
"SZT2-AS1","SZT2-AS1",FALSE
"HYI","HYI",FALSE
"HYI-AS1","HYI-AS1",FALSE
"PTPRF","PTPRF",FALSE
"KDM4A","KDM4A",FALSE
"KDM4A-AS1","KDM4A-AS1",FALSE
"ST3GAL3","ST3GAL3",FALSE
"AL451062.1","AL451062.1",FALSE
"ARTN","ARTN",FALSE
"AL357079.1","AL357079.1",FALSE
"IPO13","IPO13",FALSE
"AL357079.2","AL357079.2",FALSE
"DPH2","DPH2",FALSE
"ATP6V0B","ATP6V0B",FALSE
"B4GALT2","B4GALT2",FALSE
"CCDC24","CCDC24",FALSE
"SLC6A9","SLC6A9",FALSE
"AL139220.2","AL139220.2",FALSE
"KLF17","KLF17",FALSE
"KLF18","KLF18",FALSE
"DMAP1","DMAP1",FALSE
"ERI3","ERI3",FALSE
"ERI3-IT1","ERI3-IT1",FALSE
"RNF220","RNF220",FALSE
"TMEM53","TMEM53",FALSE
"ARMH1","ARMH1",FALSE
"KIF2C","KIF2C",FALSE
"AL592166.1","AL592166.1",FALSE
"RPS8","RPS8",FALSE
"BEST4","BEST4",FALSE
"PLK3","PLK3",FALSE
"TCTEX1D4","TCTEX1D4",FALSE
"BTBD19","BTBD19",FALSE
"PTCH2","PTCH2",FALSE
"EIF2B3","EIF2B3",FALSE
"HECTD3","HECTD3",FALSE
"UROD","UROD",FALSE
"ZSWIM5","ZSWIM5",FALSE
"LINC01144","LINC01144",FALSE
"HPDL","HPDL",FALSE
"MUTYH","MUTYH",FALSE
"TOE1","TOE1",FALSE
"TESK2","TESK2",FALSE
"CCDC163","CCDC163",FALSE
"MMACHC","MMACHC",FALSE
"PRDX1","PRDX1",TRUE
"AKR1A1","AKR1A1",FALSE
"NASP","NASP",FALSE
"CCDC17","CCDC17",TRUE
"GPBP1L1","GPBP1L1",FALSE
"TMEM69","TMEM69",FALSE
"IPP","IPP",FALSE
"AL604028.1","AL604028.1",FALSE
"MAST2","MAST2",FALSE
"PIK3R3","PIK3R3",FALSE
"AL358075.1","AL358075.1",FALSE
"AL358075.2","AL358075.2",FALSE
"TSPAN1","TSPAN1",TRUE
"P3R3URF","P3R3URF",FALSE
"POMGNT1","POMGNT1",FALSE
"LURAP1","LURAP1",FALSE
"RAD54L","RAD54L",FALSE
"LRRC41","LRRC41",FALSE
"UQCRH","UQCRH",FALSE
"NSUN4","NSUN4",FALSE
"FAAH","FAAH",FALSE
"LINC01398","LINC01398",FALSE
"DMBX1","DMBX1",FALSE
"TMEM275","TMEM275",FALSE
"MKNK1-AS1","MKNK1-AS1",FALSE
"KNCN","KNCN",FALSE
"MKNK1","MKNK1",TRUE
"MOB3C","MOB3C",FALSE
"ATPAF1","ATPAF1",FALSE
"TEX38","TEX38",FALSE
"EFCAB14-AS1","EFCAB14-AS1",FALSE
"EFCAB14","EFCAB14",FALSE
"CYP4B1","CYP4B1",TRUE
"CYP4A11","CYP4A11",FALSE
"CYP4X1","CYP4X1",FALSE
"CYP4Z1","CYP4Z1",FALSE
"CYP4A22-AS1","CYP4A22-AS1",FALSE
"CYP4A22","CYP4A22",FALSE
"LINC00853","LINC00853",FALSE
"PDZK1IP1","PDZK1IP1",FALSE
"TAL1","TAL1",FALSE
"AL135960.1","AL135960.1",FALSE
"STIL","STIL",FALSE
"CMPK1","CMPK1",FALSE
"LINC01389","LINC01389",FALSE
"FOXE3","FOXE3",FALSE
"FOXD2-AS1","FOXD2-AS1",FALSE
"FOXD2","FOXD2",FALSE
"LINC01738","LINC01738",FALSE
"TRABD2B","TRABD2B",TRUE
"AL691459.1","AL691459.1",FALSE
"AC096541.1","AC096541.1",FALSE
"LINC02794","LINC02794",FALSE
"AL356289.1","AL356289.1",FALSE
"AL109659.1","AL109659.1",FALSE
"SLC5A9","SLC5A9",FALSE
"AL109659.2","AL109659.2",FALSE
"SPATA6","SPATA6",FALSE
"AGBL4","AGBL4",FALSE
"AL391844.1","AL391844.1",FALSE
"BEND5","BEND5",FALSE
"AL645507.1","AL645507.1",FALSE
"AC099788.1","AC099788.1",FALSE
"AL590432.1","AL590432.1",FALSE
"AGBL4-IT1","AGBL4-IT1",FALSE
"ELAVL4","ELAVL4",FALSE
"AL592182.2","AL592182.2",FALSE
"AL592182.1","AL592182.1",FALSE
"LINC02808","LINC02808",FALSE
"AL592182.3","AL592182.3",FALSE
"DMRTA2","DMRTA2",FALSE
"AL049637.2","AL049637.2",FALSE
"FAF1","FAF1",FALSE
"AL049637.1","AL049637.1",FALSE
"CDKN2C","CDKN2C",FALSE
"C1orf185","C1orf185",FALSE
"LINC01562","LINC01562",FALSE
"RNF11","RNF11",FALSE
"AL162430.2","AL162430.2",FALSE
"TTC39A","TTC39A",FALSE
"TTC39A-AS1","TTC39A-AS1",FALSE
"EPS15","EPS15",FALSE
"AC104170.2","AC104170.2",FALSE
"AC104170.1","AC104170.1",FALSE
"OSBPL9","OSBPL9",FALSE
"NRDC","NRDC",FALSE
"AL050343.2","AL050343.2",FALSE
"AL050343.3","AL050343.3",FALSE
"RAB3B","RAB3B",FALSE
"TXNDC12","TXNDC12",FALSE
"KTI12","KTI12",FALSE
"AL445685.1","AL445685.1",FALSE
"TXNDC12-AS1","TXNDC12-AS1",FALSE
"BTF3L4","BTF3L4",FALSE
"ZFYVE9","ZFYVE9",TRUE
"CC2D1B","CC2D1B",FALSE
"AL513218.1","AL513218.1",FALSE
"AL513218.2","AL513218.2",FALSE
"ORC1","ORC1",FALSE
"PRPF38A","PRPF38A",TRUE
"TUT4","TUT4",TRUE
"AL591167.1","AL591167.1",FALSE
"GPX7","GPX7",FALSE
"SHISAL2A","SHISAL2A",FALSE
"COA7","COA7",FALSE
"ZYG11B","ZYG11B",TRUE
"ZYG11A","ZYG11A",FALSE
"AC099677.4","AC099677.4",FALSE
"ECHDC2","ECHDC2",FALSE
"SCP2","SCP2",FALSE
"PODN","PODN",TRUE
"AL445183.1","AL445183.1",FALSE
"SLC1A7","SLC1A7",FALSE
"AL445183.2","AL445183.2",FALSE
"CPT2","CPT2",FALSE
"AL606760.2","AL606760.2",FALSE
"CZIB","CZIB",FALSE
"AL606760.3","AL606760.3",FALSE
"MAGOH","MAGOH",FALSE
"AL606760.1","AL606760.1",FALSE
"LRP8","LRP8",FALSE
"AL355483.3","AL355483.3",FALSE
"AL355483.1","AL355483.1",FALSE
"AL355483.2","AL355483.2",FALSE
"LINC01771","LINC01771",FALSE
"AC119428.2","AC119428.2",FALSE
"AC119428.1","AC119428.1",FALSE
"LINC02812","LINC02812",FALSE
"DMRTB1","DMRTB1",FALSE
"GLIS1","GLIS1",FALSE
"NDC1","NDC1",FALSE
"YIPF1","YIPF1",FALSE
"DIO1","DIO1",FALSE
"HSPB11","HSPB11",FALSE
"LRRC42","LRRC42",FALSE
"LDLRAD1","LDLRAD1",FALSE
"TMEM59","TMEM59",FALSE
"TCEANC2","TCEANC2",FALSE
"CDCP2","CDCP2",FALSE
"AL357673.2","AL357673.2",FALSE
"CYB5RL","CYB5RL",FALSE
"MRPL37","MRPL37",FALSE
"SSBP3","SSBP3",TRUE
"SSBP3-AS1","SSBP3-AS1",FALSE
"AL161644.1","AL161644.1",FALSE
"AL035415.1","AL035415.1",FALSE
"AC099796.2","AC099796.2",FALSE
"LINC02784","LINC02784",FALSE
"ACOT11","ACOT11",FALSE
"FAM151A","FAM151A",FALSE
"AL590093.1","AL590093.1",FALSE
"MROH7","MROH7",FALSE
"TTC4","TTC4",FALSE
"PARS2","PARS2",FALSE
"TTC22","TTC22",FALSE
"AC096536.1","AC096536.1",FALSE
"LEXM","LEXM",FALSE
"DHCR24","DHCR24",TRUE
"AC096536.3","AC096536.3",FALSE
"AC096536.2","AC096536.2",FALSE
"DHCR24-DT","DHCR24-DT",FALSE
"AL590440.2","AL590440.2",FALSE
"TMEM61","TMEM61",FALSE
"AL590440.1","AL590440.1",FALSE
"BSND","BSND",FALSE
"PCSK9","PCSK9",FALSE
"USP24","USP24",FALSE
"MIR4422HG","MIR4422HG",FALSE
"AL603840.1","AL603840.1",FALSE
"LINC01755","LINC01755",FALSE
"LINC01753","LINC01753",FALSE
"AL353681.1","AL353681.1",FALSE
"AC119674.1","AC119674.1",FALSE
"LINC01767","LINC01767",FALSE
"PLPP3","PLPP3",TRUE
"PRKAA2","PRKAA2",FALSE
"FYB2","FYB2",FALSE
"AL360295.1","AL360295.1",FALSE
"C8A","C8A",FALSE
"C8B","C8B",FALSE
"AL161740.1","AL161740.1",FALSE
"DAB1","DAB1",FALSE
"AL390243.1","AL390243.1",FALSE
"DAB1-AS1","DAB1-AS1",FALSE
"AL445193.2","AL445193.2",FALSE
"OMA1","OMA1",FALSE
"AL035411.3","AL035411.3",FALSE
"TACSTD2","TACSTD2",TRUE
"MYSM1","MYSM1",FALSE
"AL136985.3","AL136985.3",FALSE
"JUN","JUN",FALSE
"LINC01135","LINC01135",FALSE
"AL136985.2","AL136985.2",FALSE
"AL136985.1","AL136985.1",FALSE
"LINC02777","LINC02777",FALSE
"LINC01358","LINC01358",FALSE
"AL592431.2","AL592431.2",FALSE
"AL592431.1","AL592431.1",FALSE
"AC093425.1","AC093425.1",FALSE
"AC093424.1","AC093424.1",FALSE
"FGGY","FGGY",FALSE
"AL035416.1","AL035416.1",FALSE
"HOOK1","HOOK1",FALSE
"CYP2J2","CYP2J2",FALSE
"C1orf87","C1orf87",FALSE
"LINC02778","LINC02778",FALSE
"LINC01748","LINC01748",FALSE
"AC099792.1","AC099792.1",FALSE
"NFIA","NFIA",FALSE
"NFIA-AS2","NFIA-AS2",FALSE
"NFIA-AS1","NFIA-AS1",FALSE
"AC099791.3","AC099791.3",FALSE
"AC099791.4","AC099791.4",FALSE
"TM2D1","TM2D1",FALSE
"AC099791.2","AC099791.2",FALSE
"PATJ","PATJ",FALSE
"L1TD1","L1TD1",FALSE
"KANK4","KANK4",FALSE
"USP1","USP1",FALSE
"DOCK7","DOCK7",TRUE
"ANGPTL3","ANGPTL3",FALSE
"AC103923.1","AC103923.1",FALSE
"ATG4C","ATG4C",FALSE
"AC099794.1","AC099794.1",FALSE
"LINC01739","LINC01739",FALSE
"AL162400.3","AL162400.3",FALSE
"AL162400.1","AL162400.1",FALSE
"AL162400.2","AL162400.2",FALSE
"AC096543.1","AC096543.1",FALSE
"LINC00466","LINC00466",FALSE
"AC096543.2","AC096543.2",FALSE
"FOXD3-AS1","FOXD3-AS1",FALSE
"FOXD3","FOXD3",FALSE
"ALG6","ALG6",FALSE
"ITGB3BP","ITGB3BP",FALSE
"BX004807.1","BX004807.1",FALSE
"EFCAB7","EFCAB7",FALSE
"DLEU2L","DLEU2L",FALSE
"PGM1","PGM1",FALSE
"ROR1","ROR1",TRUE
"ROR1-AS1","ROR1-AS1",FALSE
"AL445205.1","AL445205.1",FALSE
"UBE2U","UBE2U",FALSE
"CACHD1","CACHD1",FALSE
"RAVER2","RAVER2",FALSE
"JAK1","JAK1",FALSE
"LINC01359","LINC01359",FALSE
"AL357078.2","AL357078.2",FALSE
"AK4","AK4",TRUE
"DNAJC6","DNAJC6",FALSE
"AL139294.1","AL139294.1",FALSE
"LEPROT","LEPROT",FALSE
"LEPR","LEPR",TRUE
"AC119800.1","AC119800.1",FALSE
"AL513493.1","AL513493.1",FALSE
"PDE4B","PDE4B",FALSE
"AL590783.1","AL590783.1",FALSE
"SGIP1","SGIP1",FALSE
"AL139147.1","AL139147.1",FALSE
"TCTEX1D1","TCTEX1D1",FALSE
"INSL5","INSL5",FALSE
"WDR78","WDR78",FALSE
"AL592161.1","AL592161.1",FALSE
"MIER1","MIER1",TRUE
"SLC35D1","SLC35D1",FALSE
"C1orf141","C1orf141",FALSE
"AL133320.2","AL133320.2",FALSE
"IL23R","IL23R",FALSE
"IL12RB2","IL12RB2",FALSE
"SERBP1","SERBP1",FALSE
"LINC01702","LINC01702",FALSE
"GADD45A","GADD45A",TRUE
"GNG12","GNG12",FALSE
"GNG12-AS1","GNG12-AS1",FALSE
"DIRAS3","DIRAS3",FALSE
"WLS","WLS",FALSE
"RPE65","RPE65",FALSE
"DEPDC1","DEPDC1",FALSE
"AL138789.1","AL138789.1",FALSE
"DEPDC1-AS1","DEPDC1-AS1",FALSE
"AL035412.1","AL035412.1",FALSE
"AL033530.1","AL033530.1",FALSE
"AL691520.1","AL691520.1",FALSE
"LINC01707","LINC01707",FALSE
"LINC02791","LINC02791",FALSE
"LINC01758","LINC01758",FALSE
"AL359894.1","AL359894.1",FALSE
"LRRC7","LRRC7",FALSE
"AL117353.1","AL117353.1",FALSE
"AL158840.1","AL158840.1",FALSE
"LRRC40","LRRC40",FALSE
"SRSF11","SRSF11",FALSE
"AL353771.1","AL353771.1",FALSE
"ANKRD13C","ANKRD13C",FALSE
"HHLA3","HHLA3",FALSE
"AL158839.1","AL158839.1",FALSE
"CTH","CTH",TRUE
"AL354872.2","AL354872.2",FALSE
"LINC01788","LINC01788",FALSE
"AL513285.1","AL513285.1",FALSE
"PTGER3","PTGER3",FALSE
"AL031429.1","AL031429.1",FALSE
"AL031429.2","AL031429.2",FALSE
"ZRANB2-AS1","ZRANB2-AS1",FALSE
"ZRANB2","ZRANB2",FALSE
"ZRANB2-AS2","ZRANB2-AS2",FALSE
"NEGR1","NEGR1",TRUE
"AL354949.1","AL354949.1",FALSE
"NEGR1-IT1","NEGR1-IT1",FALSE
"AL513166.1","AL513166.1",FALSE
"AL583808.1","AL583808.1",FALSE
"LINC02796","LINC02796",FALSE
"LINC02797","LINC02797",FALSE
"LINC01360","LINC01360",FALSE
"LINC02238","LINC02238",FALSE
"AL591463.1","AL591463.1",FALSE
"LRRIQ3","LRRIQ3",FALSE
"FPGT","FPGT",FALSE
"TNNI3K","TNNI3K",FALSE
"AC093158.1","AC093158.1",FALSE
"AC105271.1","AC105271.1",FALSE
"LRRC53","LRRC53",FALSE
"ERICH3","ERICH3",FALSE
"ERICH3-AS1","ERICH3-AS1",FALSE
"AC135803.1","AC135803.1",FALSE
"CRYZ","CRYZ",FALSE
"TYW3","TYW3",TRUE
"AC133865.1","AC133865.1",FALSE
"AC099786.3","AC099786.3",FALSE
"AC099786.1","AC099786.1",FALSE
"LHX8","LHX8",FALSE
"AC099786.2","AC099786.2",FALSE
"SLC44A5","SLC44A5",FALSE
"ACADM","ACADM",FALSE
"RABGGTB","RABGGTB",FALSE
"MSH4","MSH4",FALSE
"ASB17","ASB17",FALSE
"AC092813.1","AC092813.1",FALSE
"AC092813.2","AC092813.2",FALSE
"ST6GALNAC3","ST6GALNAC3",FALSE
"AC104458.1","AC104458.1",FALSE
"LINC02567","LINC02567",FALSE
"ST6GALNAC5","ST6GALNAC5",FALSE
"AL035409.1","AL035409.1",FALSE
"PIGK","PIGK",FALSE
"AC093433.2","AC093433.2",FALSE
"AK5","AK5",FALSE
"AC095030.1","AC095030.1",FALSE
"AC093575.1","AC093575.1",FALSE
"AC118549.1","AC118549.1",TRUE
"USP33","USP33",FALSE
"MIGA1","MIGA1",FALSE
"NEXN-AS1","NEXN-AS1",FALSE
"NEXN","NEXN",TRUE
"FUBP1","FUBP1",FALSE
"DNAJB4","DNAJB4",TRUE
"GIPC2","GIPC2",FALSE
"AC103591.3","AC103591.3",FALSE
"AC103591.4","AC103591.4",FALSE
"AC096531.2","AC096531.2",FALSE
"PTGFR","PTGFR",FALSE
"IFI44L","IFI44L",FALSE
"IFI44","IFI44",FALSE
"ADGRL4","ADGRL4",TRUE
"AL353651.2","AL353651.2",FALSE
"AL353651.1","AL353651.1",FALSE
"LINC02792","LINC02792",FALSE
"AC099671.1","AC099671.1",FALSE
"AC098657.2","AC098657.2",FALSE
"AL606519.1","AL606519.1",FALSE
"AL136234.1","AL136234.1",FALSE
"LINC01781","LINC01781",FALSE
"AC093154.1","AC093154.1",FALSE
"ADGRL2","ADGRL2",FALSE
"AL138799.2","AL138799.2",FALSE
"AL138799.4","AL138799.4",FALSE
"AC117944.1","AC117944.1",FALSE
"AL157944.1","AL157944.1",FALSE
"LINC01362","LINC01362",FALSE
"LINC01361","LINC01361",FALSE
"AC116099.1","AC116099.1",FALSE
"LINC01712","LINC01712",FALSE
"LINC01725","LINC01725",FALSE
"AL035706.1","AL035706.1",FALSE
"TTLL7","TTLL7",FALSE
"TTLL7-IT1","TTLL7-IT1",FALSE
"AC104454.2","AC104454.2",FALSE
"AL359504.2","AL359504.2",FALSE
"PRKACB","PRKACB",TRUE
"SAMD13","SAMD13",FALSE
"DNASE2B","DNASE2B",FALSE
"AL844170.1","AL844170.1",FALSE
"RPF1","RPF1",FALSE
"GNG5","GNG5",FALSE
"SPATA1","SPATA1",FALSE
"CTBS","CTBS",TRUE
"AL359762.1","AL359762.1",FALSE
"AL359762.2","AL359762.2",FALSE
"LINC01555","LINC01555",FALSE
"SSX2IP","SSX2IP",FALSE
"AC104169.1","AC104169.1",FALSE
"LPAR3","LPAR3",FALSE
"MCOLN2","MCOLN2",TRUE
"WDR63","WDR63",FALSE
"MCOLN3","MCOLN3",FALSE
"SYDE2","SYDE2",FALSE
"C1orf52","C1orf52",FALSE
"BCL10","BCL10",FALSE
"AL078459.1","AL078459.1",FALSE
"DDAH1","DDAH1",FALSE
"AL360219.1","AL360219.1",FALSE
"AC092807.3","AC092807.3",FALSE
"AC092807.2","AC092807.2",FALSE
"CCN1","CCN1",TRUE
"AC092807.1","AC092807.1",FALSE
"ZNHIT6","ZNHIT6",FALSE
"COL24A1","COL24A1",FALSE
"LINC02795","LINC02795",FALSE
"ODF2L","ODF2L",TRUE
"CLCA2","CLCA2",FALSE
"CLCA1","CLCA1",FALSE
"CLCA4","CLCA4",FALSE
"CLCA4-AS1","CLCA4-AS1",FALSE
"AL049597.2","AL049597.2",FALSE
"SH3GLB1","SH3GLB1",FALSE
"AL355981.1","AL355981.1",FALSE
"SELENOF","SELENOF",FALSE
"HS2ST1","HS2ST1",FALSE
"AL121989.1","AL121989.1",FALSE
"LINC01140","LINC01140",FALSE
"LINC02801","LINC02801",FALSE
"LMO4","LMO4",FALSE
"LINC01364","LINC01364",FALSE
"PKN2-AS1","PKN2-AS1",FALSE
"AL445438.1","AL445438.1",FALSE
"PKN2","PKN2",FALSE
"GTF2B","GTF2B",FALSE
"KYAT3","KYAT3",FALSE
"RBMXL1","RBMXL1",FALSE
"GBP3","GBP3",FALSE
"GBP1","GBP1",FALSE
"GBP2","GBP2",TRUE
"AC104459.1","AC104459.1",FALSE
"GBP7","GBP7",FALSE
"GBP4","GBP4",FALSE
"AC099063.4","AC099063.4",FALSE
"GBP5","GBP5",FALSE
"AC099063.1","AC099063.1",FALSE
"GBP6","GBP6",FALSE
"AL596214.1","AL596214.1",FALSE
"LRRC8B","LRRC8B",FALSE
"LRRC8C-DT","LRRC8C-DT",FALSE
"AC093423.2","AC093423.2",FALSE
"LRRC8C","LRRC8C",FALSE
"AC099568.1","AC099568.1",FALSE
"AC099568.2","AC099568.2",FALSE
"LRRC8D","LRRC8D",FALSE
"AL391497.1","AL391497.1",FALSE
"ZNF326","ZNF326",FALSE
"AL161797.1","AL161797.1",FALSE
"AC098656.1","AC098656.1",FALSE
"AL627316.1","AL627316.1",FALSE
"LINC02787","LINC02787",FALSE
"BARHL2","BARHL2",FALSE
"AC092805.1","AC092805.1",FALSE
"LINC02609","LINC02609",FALSE
"LINC02788","LINC02788",FALSE
"LINC01763","LINC01763",FALSE
"AC091614.1","AC091614.1",FALSE
"ZNF644","ZNF644",FALSE
"HFM1","HFM1",FALSE
"CDC7","CDC7",FALSE
"TGFBR3","TGFBR3",TRUE
"BRDT","BRDT",FALSE
"EPHX4","EPHX4",FALSE
"SETSIP","SETSIP",FALSE
